dev_username,followers,NoC,AB,NAB,CII,CNII,CE,NCE,INEI,IEI,AddLGM,DelLGM,ChurnLGM,NoMGM,AddLOC,DelLOC,churnLOC,AddF,DelF,AddSAM,DelSAM,ChurnSAM,DiP,ICT,project,job
390bddf403bec997f0c159d66266ffea,27,9,0.0,12.0,0.0,12.0,0.0,12.0,0.0,0.0,669.0,0.0,669.0,3.0,1650.0,306.0,1344.0,18.0,0.0,42.0,0.0,42.0,41.94993055555555,13.983310185185184,Activiti,SSE
e954e1629583314149ec4a9a61274b59,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,8.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Activiti,UNKNOW
40c4cd8c4b63fe464765241b592f0afb,1,2,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,2.0,86.0,1.0,0.0,0.0,0.0,0.0,0.1101388888888888,0.0550694444444444,Activiti,UNKNOW
8146b404eabe18ed1fb9b35ba648dde8,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,3.0,44.0,0.0,0.0,0.0,0.0,0.0,41.852303240740746,5.9789004629629625,Activiti,UNKNOW
514ea5b357ada85714d65e62db3857ef,2,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.10107638888894,3.0097063308348018,Activiti,BOT
24cc629081a8a2f0bce4fd446cc62a3a,48,2,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,202.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Activiti,UNKNOW
03ba25cf86ec76cee1a685e3eb6371a8,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,69.0,-44.0,0.0,0.0,0.0,0.0,0.0,53.02231481481481,9.642067901234569,Activiti,UNKNOW
844fdfd1d557d0487cd7385cd4ab35de,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Activiti,UNKNOW
7c6997a0cc334a7f756178ed42c7d238,54,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Activiti,UNKNOW
7ee202f24c4da2aac3a55d68fdd7c170,43,258,3.0,172.0,38.0,137.0,74.0,101.0,9.0,12.0,120.0,103.0,17.0,4.0,7011.0,3995.0,3016.0,99.0,69.0,0.0,0.0,0.0,2237.7123148148157,8.673303545793857,Activiti,SSE
d3a5250ccfbf8b9701094782e8db8647,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,375.05329861111113,125.01776620370372,Activiti,UNKNOW
d59fbc089d48fc492714e6e500a5e5c8,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Activiti,UNKNOW
4f6c34a0005064a3ab7db2e218157aa3,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Activiti,UNKNOW
06c2e15bc7a1faa42aa5f2b88228d53e,2,8,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,198.0,20.0,178.0,4.0,0.0,0.0,0.0,0.0,13.885324074074076,3.4713310185185184,Activiti,UNKNOW
83b23690839b9483a6e18b82cb7ce4cd,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Activiti,UNKNOW
66888cb02b5fb1705e35d09a30dbf0b9,28,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,141.81275462962964,47.27091820987653,Activiti,SE
c965b8f3173f753d88b629000f6eaaa5,4,14,2.0,16.0,2.0,16.0,13.0,5.0,2.0,1.0,7.0,0.0,7.0,0.0,1046.0,119.0,927.0,16.0,0.0,0.0,0.0,0.0,656.9723032407408,46.92659308862434,Activiti,SA
c5ede324b93765d88dc79be18088e9cc,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,19.349166666666665,9.674583333333333,Activiti,UNKNOW
c4e609ed7361fa1038759ebfb24c95c0,94,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Activiti,UNKNOW
