Domain,Term,Type
Dapper,ADO,Noun
Dapper,ADO.NET,Noun
Dapper,AddDynamicParams,Verb
Dapper,BulkDelete,Verb
Dapper,BulkInsert,Verb
Dapper,BulkMerge,Verb
Dapper,BulkUpdate,Verb
Dapper,Contrib,Noun
Dapper,Dapper,Noun
Dapper,Dapper Plus,Noun
Dapper,DataReader,Noun
Dapper,DataSet,Noun
Dapper,DbConnection,Noun
Dapper,DbTransaction,Noun
Dapper,Dialect,Noun
Dapper,DynamicParameters,Noun
Dapper,Execute,Verb
Dapper,ExecuteAsync,Verb
Dapper,ExecuteScalar,Verb
Dapper,GridReader,Noun
Dapper,IDbConnection,Noun
Dapper,IDbTransaction,Noun
Dapper,IDataReader,Noun
Dapper,IEnumerable,Noun
Dapper,IQueryable,Noun
Dapper,MicroORM,Noun
Dapper,MultiMapping,Noun
Dapper,Parameter,Noun
Dapper,PetaPoco,Noun
Dapper,Query,Verb
Dapper,QueryAsync,Verb
Dapper,QueryMultiple,Verb
Dapper,QuerySingle,Verb
Dapper,QuerySingleOrDefault,Verb
Dapper,ResultSet,Noun
Dapper,Row,Noun
Dapper,Sql,Noun
Dapper,SqlCommand,Noun
Dapper,SqlConnection,Noun
Dapper,SqlMapper,Noun
Dapper,StoredProcedure,Noun
Dapper,StronglyTyped,Noun
Dapper,Transaction,Noun
Dapper,TransactionScope,Noun
Dapper,TypeHandler,Noun
Dapper,UnitOfWork,Noun
Dapper,mapper,Noun
Dapper,mapping,Noun
Dapper,materialization,Noun
Dapper,micro-ORM,Noun
Dapper,nHibernate,Noun
Dapper,performance,Noun
Dapper,sql,Noun
Dapper,transaction,Noun
