Term,Frequency
our library,44
your personal information,42
the license,33
your information,33
var connection,28
new sqlconnection(fiddlehelper,27
our newsletter,27
contact us,27
personal information,23
this method,21
the code,21
dapper plus,20
"bulk methods                        







                        overview
                    



                        bulk insert
                    



                        bulk update
                    



                        bulk delete
                    



                        bulk merge/upsert
                    



                        bulk synchronize
                    



                        options/usebulkoptions
                    







free methods",19
=> options,18
our services,18
the library,17
your personal dataright,17
the performance,16
your entity,16
a mapping key,16
a license,16
multiple rows,15
the services,14
this article,13
your library,13
a free license,13
the end,13
your request,13
the appsettings.json,13
a list,12
our website,12
online example,11
your entities,11
the database,11
the right,11
this library,11
the mapping,11
fullname =,11
your consent,11
this section,10
"2025-06-16
author",10
the trial,10
a property,10
the processing,10
your database,9
up to 99%,9
your project,9
the connection,9
"zzz projects
















contents",9
the dapper,9
this contest,9
the information,9
the parent,9
the appsettings.json file,9
the section,9
some common options,8
monthly updates,8
the contest,8
any time,8
the data,8
the latest version,8
the validatelicense method,8
your rights,8
"context
                    



                        dapper",7
a connection,7
the method,7
the usebulkoptions method,7
the bulksynchronize method,7
your data,7
entity framework extensions,7
third parties,7
the purposes,7
more information,7
"[])
						  || type",7
"[])
						  || type =",7
the month,7
these rights,7
"online example
conclusion",6
the bulkmerge method,6
the bulkinsert method,6
the hierarchy level,6
the identity value,6
this case,6
the time,6
the problem,6
the beginning,6
bulk operations,6
a lot,6
public int,6
every month,6
the property name,6
the child,6
new exception(licenseerrormessage,6
this error,6
the personal information,6
your personal data,6
a request,6
personal data,6
one row,6
the project root,6
