Term,Frequency
an array,137
this method,129
a function,126
the range,110
the specified function,73
each selected element,69
the domain,63
a number,59
the scale,56
the transition,55
the number,53
the current dom element,46
a transition,45
the simulation,45
the quadtree,45
the current datum,44
the selection,43
the specified number,43
an rgb string,41
"```js
const color",40
a string,39
the element,39
the force,39
this scale,38
"``

##",38
the corresponding color,38
the index,37
a value,36
the interpolator,33
the selected elements,32
the specified array,32
"```

##",32
each node,31
the value,31
the data,30
this function,30
the extent,29
this transition,29
an iterable,28
this force,28
the array,27
the order,27
the zoom behavior,27
the arc,27
the specified *name,27
local time,26
the given *,26
each element,25
a set,25
the given array,25
"```js
const",25
a *value,25
a copy,23
the start,23
an object,23
the returned array,23
this color,23
the brush,22
the drag behavior,22
the point,22
the node,22
12:00 am,22
an interpolator,21
the dom,21
the input data,21
this selection,21
the input,21
a line,20
the end,20
utc time,20
a decimal number,20
the *selector,20
the *,19
the elements,19
the `this` context,19
an area,19
the specified point,19
the output range,19
the projection,19
the default settings,19
the default,18
a selection,18
the line,18
the center,18
random numbers,18
the origin,18
the axis,17
the context,17
the area,17
a polygon,17
the transform,17
the specified value,17
the specified *,17
the following properties,17
the size,16
the radius,16
an element,16
"new date(""2015",16
a two-element array,16
"```js
const area",16
