Domain,Term,Type
Lodash,JavaScript utility,Noun
Lodash,_ (underscore),Noun
Lodash,add,Verb
Lodash,after,Verb
Lodash,ary,Verb
Lodash,assign,Verb
Lodash,assignIn,Verb
Lodash,at,Verb
Lodash,before,Verb
Lodash,camelCase,Verb
Lodash,capitalize,Verb
Lodash,ceil,Verb
Lodash,chunk,Verb
Lodash,clone,Verb
Lodash,cloneDeep,Verb
Lodash,compact,Verb
Lodash,concat,Verb
Lodash,conforms,Verb
Lodash,countBy,Verb
Lodash,curry,Verb
Lodash,debounce,Verb
Lodash,defaultTo,Verb
Lodash,difference,Verb
Lodash,drop,Verb
Lodash,each,Verb
Lodash,eachRight,Verb
Lodash,escape,Verb
Lodash,every,Verb
Lodash,extend,Verb
Lodash,fill,Verb
Lodash,filter,Verb
Lodash,find,Verb
Lodash,flatten,Verb
Lodash,flattenDeep,Verb
Lodash,floor,Verb
Lodash,flow,Verb
Lodash,forEach,Verb
Lodash,get,Verb
Lodash,groupBy,Verb
Lodash,gte,Verb
Lodash,has,Verb
Lodash,identity,Noun
Lodash,inRange,Verb
Lodash,includes,Verb
Lodash,invokeMap,Verb
Lodash,isArray,Verb
Lodash,isEmpty,Verb
Lodash,isEqual,Verb
Lodash,isNil,Verb
Lodash,join,Verb
Lodash,kebabCase,Verb
Lodash,keyBy,Verb
Lodash,keys,Verb
Lodash,lowerCase,Verb
Lodash,map,Verb
Lodash,mapKeys,Verb
Lodash,mapValues,Verb
Lodash,max,Verb
Lodash,mean,Verb
Lodash,merge,Verb
Lodash,min,Verb
Lodash,negate,Verb
Lodash,noop,Noun
Lodash,omit,Verb
Lodash,once,Verb
Lodash,orderBy,Verb
Lodash,pad,Verb
Lodash,parseInt,Verb
Lodash,partition,Verb
Lodash,pick,Verb
Lodash,random,Verb
Lodash,range,Verb
Lodash,reduce,Verb
Lodash,repeat,Verb
Lodash,replace,Verb
Lodash,result,Verb
Lodash,retry,Verb
Lodash,round,Verb
Lodash,runInContext,Verb
Lodash,sample,Verb
Lodash,shuffle,Verb
Lodash,size,Verb
Lodash,snakeCase,Verb
Lodash,some,Verb
Lodash,sortBy,Verb
Lodash,split,Verb
Lodash,startCase,Verb
Lodash,stubTrue,Noun
Lodash,subtract,Verb
Lodash,sum,Verb
Lodash,take,Verb
Lodash,template,Verb
Lodash,throttle,Verb
Lodash,times,Verb
Lodash,toArray,Verb
Lodash,toLower,Verb
Lodash,toPairs,Verb
Lodash,toString,Verb
Lodash,trim,Verb
Lodash,truncate,Verb
Lodash,uniq,Verb
Lodash,uniqueId,Verb
Lodash,unset,Verb
Lodash,upperCase,Verb
Lodash,value,Verb
Lodash,without,Verb
Lodash,wrap,Verb
Lodash,zip,Verb
Lodash,composition,Noun
Lodash,currying,Noun
Lodash,functional programming,Noun
Lodash,higher-order function,Noun
Lodash,immutable,Noun
Lodash,partial application,Noun
Lodash,side effect,Noun
Lodash,underscore,Noun
