Project,Language,Identifier Type,Identifier Name,Length,MC,NC,len,OL,DR,R,HUMAN,,,,,,
human-survey,Python,variable,output_dir,10,1,1,10,1,1,1,0.775,,,,,,
human-survey,JavaScript,function,doStuff,7,0,1,7,0.86,0.5,0.479,0.535,,,,,,
human-survey,Java,class,VersionManager,14,1,0.9,14,1,1,0.975,0.69,,,,,,
human-survey,Python,function,render_templates,16,1,1,16,1,0.5,0.9,0.735,,,,,,
human-survey,Python,variable,_,1,0,0.9,1,0.1,0,0.24,0.18,,,,,,
human-survey,Python,function,validate_user_input,19,0.65,0.8,19,1,1,0.81,0.75,,,,,,
human-survey,Java,class,DummyBuildSrc,13,0,0.9,13,1,0.17,0.409,0.465,,,,,,
human-survey,Python,function,maybe_cythonize,15,0.65,0.8,15,1,0.25,0.66,0.46,,,,,,
human-survey,Python,variable,is_debug_mode,13,0.85,0.8,13,1,0.25,0.74,0.79,,,,,,
human-survey,Java,class,Factorize,9,0,0.9,9,1,0,0.375,0.59,,,,,,
human-survey,Python,variable,"i, j, k",7,0,0.2,7,1,0.17,0.234,0.365,,,,,,
human-survey,Java,class,Hashing,7,0,0.9,7,1,0.5,0.475,0.485,,,,,,
human-survey,Python,function,write_version_info,18,1,1,18,1,0.67,0.934,0.795,,,,,,
human-survey,Python,function,process_tempita,15,0.35,0.8,15,1,0.5,0.59,0.475,,,,,,
human-survey,Python,variable,ext_data,8,0,0.8,8,1,0.25,0.4,0.515,,,,,,
human-survey,Python,variable,pxifile,7,0,0.8,7,1,0,0.35,0.345,,,,,,
human-survey,Java,class,InputValidator,14,0.8,0.9,14,1,0.5,0.795,0.83,,,,,,
human-survey,Java,function,testIsInitialized,17,0.65,0.8,17,1,0.75,0.76,0.765,,,,,,
human-survey,Python,function,calculate_tax,13,1,1,13,1,1,1,0.81,,,,,,
human-survey,Java,class,LazyInitializerTestImpl,23,0.8,1,23,1,0.25,0.77,0.58,,,,,,
human-survey,Python,function,clean_me,8,0,0.8,8,1,0.5,0.45,0.655,,,,,,
human-survey,Python,variable,macros,6,0,0.8,6,1,0,0.35,0.545,,,,,,
human-survey,Python,function,parse,5,0,1,5,0.57,1,0.5355,0.69,,,,,,
human-survey,Java,class,MemoizerComputableTest,22,0.6,0.9,22,1,0.33,0.681,0.68,,,,,,
human-survey,Python,function,setup_cache,11,0.85,0.8,11,1,0.75,0.84,0.79,,,,,,
human-survey,Python,function,linetrace,9,0,0.8,9,1,0,0.35,0.595,,,,,,
human-survey,Python,variable,parsed,6,0,0.8,6,1,0.5,0.45,0.573684211,,,,,,
human-survey,Python,variable,user_data,9,1,1,9,1,0.75,0.95,0.715,,,,,,
human-survey,C#,class,CleanCommand,12,0.7,1,12,1,0.75,0.83,0.7,,,,,,
human-survey,Python,function,initialize,10,0,1,10,1,0.5,0.5,0.825,,,,,,
human-survey,Python,variable,version_info,12,1,1,12,1,0.75,0.95,0.795,,,,,,
human-survey,Python,function,db_query,8,0,1,8,1,1,0.6,0.685,,,,,,
