Domain,Term,Type
commons-lang,AbstractMap,Noun
commons-lang,ArrayStack,Noun
commons-lang,ArrayUtils,Noun
commons-lang,Bag,Noun
commons-lang,BidiMap,Noun
commons-lang,BinaryDecoder,Noun
commons-lang,BinaryEncoder,Noun
commons-lang,BooleanUtils,Noun
commons-lang,CSVFormat,Noun
commons-lang,CSVParser,Noun
commons-lang,CSVPrinter,Noun
commons-lang,CSVRecord,Noun
commons-lang,CaseUtils,Noun
commons-lang,CharEncoding,Noun
commons-lang,CharMatcher,Noun
commons-lang,CharRange,Noun
commons-lang,CharSet,Noun
commons-lang,CharUtils,Noun
commons-lang,ClassUtils,Noun
commons-lang,Closure,Noun
commons-lang,ClosureUtils,Noun
commons-lang,CollectionUtils,Noun
commons-lang,CollectionsUtils,Noun
commons-lang,ComparatorUtils,Noun
commons-lang,ConcurrentHashMap,Noun
commons-lang,CopyUtils,Noun
commons-lang,DateFormatUtils,Noun
commons-lang,DateUtils,Noun
commons-lang,DefaultParser,Noun
commons-lang,DoubleMetaphone,Noun
commons-lang,DurationFormatUtils,Noun
commons-lang,EqualsBuilder,Noun
commons-lang,EventUtils,Noun
commons-lang,ExceptionUtils,Noun
commons-lang,FastDateFormat,Noun
commons-lang,FileCleaner,Noun
commons-lang,FileDeleteStrategy,Noun
commons-lang,FileUtils,Noun
commons-lang,FilenameUtils,Noun
commons-lang,Flushable,Noun
commons-lang,Focus,Noun
commons-lang,Fraction,Noun
commons-lang,GrowthList,Noun
commons-lang,HashBag,Noun
commons-lang,HashBiMap,Noun
commons-lang,HashBasedTable,Noun
commons-lang,HashMultimap,Noun
commons-lang,HashMultiset,Noun
commons-lang,HelpFormatter,Noun
commons-lang,IOFileFilter,Noun
commons-lang,IOUtils,Noun
commons-lang,ImmutableBiMap,Noun
commons-lang,ImmutableClassToInstanceMap,Noun
commons-lang,ImmutableList,Noun
commons-lang,ImmutableMap,Noun
commons-lang,ImmutableMultiset,Noun
commons-lang,ImmutablePair,Noun
commons-lang,ImmutableTable,Noun
commons-lang,ImmutableTriple,Noun
commons-lang,InitialContext,Noun
commons-lang,IteratorUtils,Noun
commons-lang,Joiner,Noun
commons-lang,LazyList,Noun
commons-lang,LineIterator,Noun
commons-lang,ListUtils,Noun
commons-lang,LocaleUtils,Noun
commons-lang,LRUMap,Noun
commons-lang,LU,Noun
commons-lang,MapUtils,Noun
commons-lang,Max,Noun
commons-lang,MessageDigest,Noun
commons-lang,MultiKey,Noun
commons-lang,MultiKeyMap,Noun
commons-lang,MultiMap,Noun
commons-lang,MultiSet,Noun
commons-lang,NumberUtils,Noun
commons-lang,ObjectUtils,Noun
commons-lang,Option,Noun
commons-lang,OptionBuilder,Noun
commons-lang,OrderedMap,Noun
commons-lang,Pair,Noun
commons-lang,Parameter,Noun
commons-lang,Predicate,Noun
commons-lang,PredicateUtils,Noun
commons-lang,PropertyUtils,Noun
commons-lang,QCodec,Noun
commons-lang,RNG,Noun
commons-lang,RandomStringUtils,Noun
commons-lang,Range,Noun
commons-lang,ReferenceMap,Noun
commons-lang,ReflectionUtils,Noun
commons-lang,Remove,Verb
commons-lang,SerializationUtils,Noun
commons-lang,Serializer,Noun
commons-lang,Service,Noun
commons-lang,SetUtils,Noun
commons-lang,SimpleEntry,Noun
commons-lang,Sorter,Noun
commons-lang,Soundex,Noun
commons-lang,Stack,Noun
commons-lang,StopWatch,Noun
commons-lang,StringEscapeUtils,Noun
commons-lang,StringUtils,Noun
commons-lang,SystemUtils,Noun
commons-lang,Table,Noun
commons-lang,Transformer,Noun
commons-lang,TransformerUtils,Noun
commons-lang,Triple,Noun
commons-lang,TypeUtils,Noun
commons-lang,URLCodec,Noun
commons-lang,UnmodifiableList,Noun
commons-lang,Validate,Verb
commons-lang,WordUtils,Noun
commons-lang,XMLFormatter,Noun
commons-lang,annotation,Noun
commons-lang,array,Noun
commons-lang,base64,Noun
commons-lang,bean introspection,Noun
commons-lang,beanutils,Noun
commons-lang,codec,Noun
commons-lang,collection,Noun
commons-lang,commons-cli,Noun
commons-lang,commons-codec,Noun
commons-lang,commons-collections,Noun
commons-lang,commons-io,Noun
commons-lang,commons-lang,Noun
commons-lang,commons-math,Noun
commons-lang,commons-net,Noun
commons-lang,commons-text,Noun
commons-lang,dependency,Noun
commons-lang,library,Noun
commons-lang,utility,Noun
commons-lang,utils,Noun
