Project,Language,Identifier Type,Identifier Name
Autofac,C#,class,Program
Autofac,C#,function,Main
Autofac,C#,function,Thread
Autofac,C#,function,ThreadStart
Autofac,C#,function,PrintBenchmarks
Autofac,C#,function,PrintCases
Autofac,C#,variable,availableBenchmarks
Autofac,C#,variable,inputType
Autofac,C#,variable,selectedBenchmark
Autofac,C#,variable,benchRunInfo
Autofac,C#,variable,selectedCase
Autofac,C#,variable,cases
Autofac,C#,variable,benchInstance
Autofac,C#,variable,setupAction
Autofac,C#,variable,cleanupAction
Autofac,C#,variable,runs
Autofac,C#,variable,runThread
Autofac,C#,variable,idx
Autofac,C#,variable,benchCase
Autofac,C#,class,BenchmarkConfig
Autofac,C#,function,BenchmarkConfig
Autofac,C#,variable,rootFolder
Autofac,C#,variable,runFolder
Autofac,C#,class,BenchmarkSet
Autofac,C#,class,ChildScopeResolveBenchmark
Autofac,C#,class,A
Autofac,C#,class,B1
Autofac,C#,class,B2
Autofac,C#,class,C1
Autofac,C#,class,C2
Autofac,C#,class,D1
Autofac,C#,class,D2
Autofac,C#,class,NeverRegistered
Autofac,C#,function,Resolve
Autofac,C#,function,ResolveNeverRegisteredFromChild
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,A
Autofac,C#,function,B1
Autofac,C#,function,B2
Autofac,C#,function,C1
Autofac,C#,function,C2
Autofac,C#,variable,_container
Autofac,C#,variable,requestScope
Autofac,C#,variable,b
Autofac,C#,variable,unitOfWorkScope
Autofac,C#,variable,instance
Autofac,C#,variable,requestScope
Autofac,C#,variable,b
Autofac,C#,variable,unitOfWorkScope
Autofac,C#,variable,instance
Autofac,C#,variable,builder
Autofac,C#,class,ConcurrencyBenchmark
Autofac,C#,class,A
Autofac,C#,class,B1
Autofac,C#,class,B2
Autofac,C#,class,C1
Autofac,C#,class,C2
Autofac,C#,class,D1
Autofac,C#,class,D2
Autofac,C#,function,ConcurrencyBenchmark
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,MultipleResolvesOnMultipleTasks
Autofac,C#,function,InvalidOperationException
Autofac,C#,function,A
Autofac,C#,function,B1
Autofac,C#,function,B2
Autofac,C#,function,C1
Autofac,C#,function,C2
Autofac,C#,variable,_container
Autofac,C#,variable,builder
Autofac,C#,variable,tasks
Autofac,C#,variable,i
Autofac,C#,variable,task
Autofac,C#,variable,j
Autofac,C#,variable,instance
Autofac,C#,class,ConcurrencyNestedScopeBenchmark
Autofac,C#,class,MockGlobalSingleton
Autofac,C#,class,MockRequestScopeService1
Autofac,C#,class,MockRequestScopeService2
Autofac,C#,class,MockUnitOfWork
Autofac,C#,function,ConcurrencyNestedScopeBenchmark
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,MultipleResolvesOnMultipleTasks
Autofac,C#,function,InvalidOperationException
Autofac,C#,function,InvalidOperationException
Autofac,C#,function,InvalidOperationException
Autofac,C#,function,MockRequestScopeService1
Autofac,C#,function,MockRequestScopeService2
Autofac,C#,function,MockUnitOfWork
Autofac,C#,variable,_container
Autofac,C#,variable,builder
Autofac,C#,variable,tasks
Autofac,C#,variable,i
Autofac,C#,variable,task
Autofac,C#,variable,j
Autofac,C#,variable,requestScope
Autofac,C#,variable,service1
Autofac,C#,variable,unitOfWorkScope
Autofac,C#,variable,nestedRequestService2
Autofac,C#,variable,unitOfWork
Autofac,C#,class,DeepGraphResolveBenchmark
Autofac,C#,class,A
Autofac,C#,class,B1
Autofac,C#,class,B2
Autofac,C#,class,C1
Autofac,C#,class,C2
Autofac,C#,class,D1
Autofac,C#,class,D2
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,Resolve
Autofac,C#,function,A
Autofac,C#,function,B1
Autofac,C#,function,B2
Autofac,C#,function,C1
Autofac,C#,function,C2
Autofac,C#,variable,_container
Autofac,C#,variable,builder
Autofac,C#,variable,instance
Autofac,C#,class,EnumerableResolveBenchmark
Autofac,C#,class,IService
Autofac,C#,class,A
Autofac,C#,class,B
Autofac,C#,class,C
Autofac,C#,class,D
Autofac,C#,class,E
Autofac,C#,class,F
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,ResolveIEnumerable
Autofac,C#,function,ResolveIReadOnlyList
Autofac,C#,function,ResolveArray
Autofac,C#,variable,_container
Autofac,C#,variable,builder
Autofac,C#,class,LambdaResolveBenchmark
Autofac,C#,class,IServiceExistingMethodCapturedArg
Autofac,C#,class,IServiceNewMethodCapturedArg
Autofac,C#,class,IServiceNewMethodOpenArg
Autofac,C#,class,IServiceFromReflection
Autofac,C#,class,MyComponent
Autofac,C#,class,MyDependency1
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,MyComponent
Autofac,C#,function,MyComponent
Autofac,C#,function,MyComponent
Autofac,C#,function,ResolveManuallyWithComponentContext
Autofac,C#,function,ResolveWithCapturedParameter
Autofac,C#,function,ResolveWithProvidedTypedParameter
Autofac,C#,function,ResolveWithProvidedNamedParameter
Autofac,C#,function,NamedParameter
