Domain,Term,Type
Guava,AbstractExecutionThreadService,Noun
Guava,AtomicLongMap,Noun
Guava,BiMap,Noun
Guava,BloomFilter,Noun
Guava,CacheBuilder,Noun
Guava,CacheLoader,Noun
Guava,CaseFormat,Noun
Guava,CharMatcher,Noun
Guava,ClassToInstanceMap,Noun
Guava,Closer,Noun
Guava,ComparisonChain,Noun
Guava,ConcurrentHashMultiset,Noun
Guava,DoubleMath,Noun
Guava,EventBus,Noun
Guava,ForceDirectedGraph,Noun
Guava,Graph,Noun
Guava,GraphBuilder,Noun
Guava,HashBasedTable,Noun
Guava,HashBiMap,Noun
Guava,HashMultimap,Noun
Guava,HashMultiset,Noun
Guava,ImmutableBiMap,Noun
Guava,ImmutableClassToInstanceMap,Noun
Guava,ImmutableCollection,Noun
Guava,ImmutableList,Noun
Guava,ImmutableMap,Noun
Guava,ImmutableMultiset,Noun
Guava,ImmutableSet,Noun
Guava,IntMath,Noun
Guava,Iterables,Noun
Guava,Joiner,Noun
Guava,LazyLogger,Noun
Guava,LessFiles,Noun
Guava,ListMultimap,Noun
Guava,Lists,Noun
Guava,LoadingCache,Noun
Guava,LongMath,Noun
Guava,MapDifference,Noun
Guava,Maps,Noun
Guava,MinMaxPriorityQueue,Noun
Guava,MoreExecutors,Noun
Guava,MoreObjects,Noun
Guava,Multimap,Noun
Guava,Multiset,Noun
Guava,MutableClassToInstanceMap,Noun
Guava,MutableGraph,Noun
Guava,Objects,Noun
Guava,Optional,Noun
Guava,Ordering,Noun
Guava,Pack,Noun
Guava,Partition,Noun
Guava,Preconditions,Noun
Guava,PrefixTrie,Noun
Guava,Predicate,Noun
Guava,Predicates,Noun
Guava,RateLimiter,Noun
Guava,Retryer,Noun
Guava,Service,Noun
Guava,ServiceManager,Noun
Guava,Sets,Noun
Guava,Sets.SetView,Noun
Guava,Sink,Noun
Guava,Supplier,Noun
Guava,Table,Noun
Guava,Throwables,Noun
Guava,TreeBasedTable,Noun
Guava,TreeMultiset,Noun
Guava,TypeToken,Noun
Guava,UnsignedInts,Noun
Guava,ValueGraph,Noun
Guava,api,Noun
Guava,cache,Noun
Guava,collect,Noun
Guava,collections,Noun
Guava,common,Noun
Guava,concurrent,Noun
Guava,guava,Noun
Guava,immutable,Noun
Guava,joiner,Noun
Guava,lazy,Noun
Guava,utilities,Noun
Guava,util.concurrent,Noun
Guava,utilities,Noun
Guava,vector,Noun
