Term,Frequency
a number,28
the value,27
a `map,24
this release,22
the number,18
the method,18
your project,18
the jdk,17
the graph,17
these methods,15
a `set,15
the code,14
a `list,14
# guava release,14
your build environment,14
the values,13
a way,13
a graph,13
the type,12
a method,12
a combined report,12
the api changes,12
any older release,12
the previous release number,12
| [api changes](http://google.github.io,12
a list,11
an exception,11
the methods,11
your code,11
## api changes,11
the cache,10
an example,10
a set,10
the range,10
an edge,10
the map,10
## issues,10
a value,9
the other hand,9
a key,9
this method,9
the key,9
the multimap,9
a map,9
"|
|",9
the classes,9
our docs tree,9
your cache,8
the order,8
a variety,8
an object,8
the result,8
this library,8
traditional java events,8
a library,8
the maven central repository,8
release notes,8
some cases,7
a view,7
the input,7
the stream,7
these types,7
the case,7
the `multimap,7
this type,7
the javadoc,7
a `listenablefuture,7
new typetoken,7
"release notes

release",7
managed dependencies,7
gwt users,7
### significant api additions,7
existing values,7
------------- |,6
a bug,6
the end,6
a class,6
)` method,6
null values,6
a collection,6
the list,6
an element,6
the old version,6
the event,6
a source,6
each graph type,6
these classes,6
primitive types,6
new features,6
a feature,6
the specified number,6
int size,6
int radix,6
maven identifier,6
n nodev,6
the service,6
the following,5
a `collection,5
the multiset,5
public graph load(key key,5
