Domain,Term,Type
ngx-bootstrap,@Component,Noun
ngx-bootstrap,@Directive,Noun
ngx-bootstrap,@Input,Noun
ngx-bootstrap,@Output,Noun
ngx-bootstrap,@ViewChild,Noun
ngx-bootstrap,@HostBinding,Noun
ngx-bootstrap,@HostListener,Noun
ngx-bootstrap,@Injectable,Noun
ngx-bootstrap,@NgModule,Noun
ngx-bootstrap,Accordion,Noun
ngx-bootstrap,Alert,Noun
ngx-bootstrap,Buttons,Noun
ngx-bootstrap,Carousel,Noun
ngx-bootstrap,Collapse,Noun
ngx-bootstrap,Datepicker,Noun
ngx-bootstrap,Dropdown,Noun
ngx-bootstrap,Modal,Noun
ngx-bootstrap,Pagination,Noun
ngx-bootstrap,Popper,Noun
ngx-bootstrap,Progressbar,Noun
ngx-bootstrap,Rating,Noun
ngx-bootstrap,ScrollSpy,Noun
ngx-bootstrap,Select,Noun
ngx-bootstrap,Sortable,Noun
ngx-bootstrap,Timepicker,Noun
ngx-bootstrap,Tooltip,Noun
ngx-bootstrap,Typeahead,Noun
ngx-bootstrap,AccordionComponent,Noun
ngx-bootstrap,AlertComponent,Noun
ngx-bootstrap,ButtonComponent,Noun
ngx-bootstrap,CarouselComponent,Noun
ngx-bootstrap,CollapseComponent,Noun
ngx-bootstrap,DatepickerComponent,Noun
ngx-bootstrap,DropdownComponent,Noun
ngx-bootstrap,ModalComponent,Noun
ngx-bootstrap,PaginationComponent,Noun
ngx-bootstrap,PopperComponent,Noun
ngx-bootstrap,ProgressbarComponent,Noun
ngx-bootstrap,RatingComponent,Noun
ngx-bootstrap,ScrollSpyComponent,Noun
ngx-bootstrap,SelectComponent,Noun
ngx-bootstrap,SortableComponent,Noun
ngx-bootstrap,TimepickerComponent,Noun
ngx-bootstrap,TooltipComponent,Noun
ngx-bootstrap,TypeaheadComponent,Noun
ngx-bootstrap,AccordionModule,Noun
ngx-bootstrap,AlertModule,Noun
ngx-bootstrap,ButtonsModule,Noun
ngx-bootstrap,CarouselModule,Noun
ngx-bootstrap,CollapseModule,Noun
ngx-bootstrap,DatepickerModule,Noun
ngx-bootstrap,DropdownModule,Noun
ngx-bootstrap,ModalModule,Noun
ngx-bootstrap,PaginationModule,Noun
ngx-bootstrap,PopperModule,Noun
ngx-bootstrap,ProgressbarModule,Noun
ngx-bootstrap,RatingModule,Noun
ngx-bootstrap,ScrollSpyModule,Noun
ngx-bootstrap,SelectModule,Noun
ngx-bootstrap,SortableModule,Noun
ngx-bootstrap,TimepickerModule,Noun
ngx-bootstrap,TooltipModule,Noun
ngx-bootstrap,TypeaheadModule,Noun
ngx-bootstrap,AccordionDirective,Noun
ngx-bootstrap,AlertDirective,Noun
ngx-bootstrap,ButtonsDirective,Noun
ngx-bootstrap,CarouselDirective,Noun
