Domain,Term,Type
NumPy,BLAS,Noun
NumPy,Buffer protocol,Noun
NumPy,C-order,Noun
NumPy,CAPI,Noun
NumPy,COPY,Verb
NumPy,CSV,Noun
NumPy,Contiguous,Noun
NumPy,DEV,Noun
NumPy,DWT,Noun
NumPy,DataFrame,Noun
NumPy,Dtype,Noun
NumPy,Einsum,Noun
NumPy,F-order,Noun
NumPy,FFT,Noun
NumPy,Fortran-order,Noun
NumPy,Inf,Noun
NumPy,LAPACK,Noun
NumPy,LinAlg,Noun
NumPy,MaskedArray,Noun
NumPy,Meshgrid,Noun
NumPy,NaN,Noun
NumPy,NumPy,Noun
NumPy,ONES,Noun
NumPy,OpenBLAS,Noun
NumPy,Pointwise,Noun
NumPy,PyArrayObject,Noun
NumPy,RAND,Verb
NumPy,RandomState,Noun
NumPy,Universal function,Noun
NumPy,abs,Verb
NumPy,all,Verb
NumPy,any,Verb
NumPy,array,Noun
NumPy,arange,Verb
NumPy,astype,Verb
NumPy,axis,Noun
NumPy,broadcast,Noun
NumPy,broadcast_to,Verb
NumPy,concatenate,Verb
NumPy,contiguous,Noun
NumPy,cumsum,Noun
NumPy,dtype,Noun
NumPy,eigvals,Noun
NumPy,flatten,Verb
NumPy,floating,Noun
NumPy,histogram,Noun
NumPy,image processing,Noun
NumPy,interpolate,Verb
NumPy,inv,Verb
NumPy,invert,Verb
NumPy,isfinite,Verb
NumPy,isnan,Verb
NumPy,linspace,Verb
NumPy,logspace,Verb
NumPy,matrix,Noun
NumPy,mean,Verb
NumPy,median,Noun
NumPy,meshgrid,Noun
NumPy,ndarray,Noun
NumPy,ndim,Noun
NumPy,newaxis,Noun
NumPy,pivot,Noun
NumPy,polyfit,Verb
NumPy,random,Noun
NumPy,random.randn,Verb
NumPy,reshape,Verb
NumPy,shape,Noun
NumPy,sort,Verb
NumPy,sparsity,Noun
NumPy,squeeze,Verb
NumPy,std,Verb
NumPy,strides,Noun
NumPy,sum,Verb
NumPy,tile,Verb
NumPy,transpose,Verb
NumPy,ufunc,Noun
NumPy,uint8,Noun
NumPy,zeros,Verb
