Domain,Term,Type
Pandas,BDQuarterEnd,Noun
Pandas,DataFrame,Noun
Pandas,DatetimeIndex,Noun
Pandas,Float64Index,Noun
Pandas,Int64Index,Noun
Pandas,MultiIndex,Noun
Pandas,NA,Noun
Pandas,NaN,Noun
Pandas,Series,Noun
Pandas,Series.dt,Noun
Pandas,TimedeltaIndex,Noun
Pandas,agg,Verb
Pandas,apply,Verb
Pandas,assign,Verb
Pandas,astype,Verb
Pandas,concat,Verb
Pandas,crosstab,Verb
Pandas,csv,Noun
Pandas,drop,Verb
Pandas,drop_duplicates,Verb
Pandas,dropna,Verb
Pandas,dtype,Noun
Pandas,dtypes,Noun
Pandas,fillna,Verb
Pandas,groupby,Verb
Pandas,iloc,Noun
Pandas,iloc indexer,Noun
Pandas,index,Noun
Pandas,indexing,Noun
Pandas,join,Verb
Pandas,loc indexer,Noun
Pandas,merge,Verb
Pandas,pivot,Verb
Pandas,pivot_table,Verb
Pandas,query,Verb
Pandas,reindex,Verb
Pandas,rename,Verb
Pandas,reset_index,Verb
Pandas,resample,Verb
Pandas,sort_values,Verb
Pandas,stack,Verb
Pandas,tail,Verb
Pandas,to_csv,Verb
Pandas,to_datetime,Verb
Pandas,to_excel,Verb
Pandas,to_json,Verb
Pandas,unstack,Verb
Pandas,value_counts,Verb
Pandas,xs,Verb
Pandas,10min to Pandas,Noun
Pandas,DataFrame.plot,Verb
Pandas,ExcelWriter,Noun
Pandas,MultiIndex.names,Noun
Pandas,Series.str,Noun
Pandas,concat,Verb
Pandas,csv,Noun
Pandas,date_range,Verb
Pandas,join,Verb
Pandas,pandas,Noun
Pandas,read_csv,Verb
Pandas,read_excel,Verb
Pandas,read_json,Verb
Pandas,rolling,Noun
Pandas,time series,Noun
Pandas,NaT,Noun
