Domain,Term,Type
react,@Component,Noun
react,@Context,Noun
react,@Hook,Noun
react,@Effect,Noun
react,@Memo,Noun
react,@Reducer,Noun
react,@State,Noun
react,@Ref,Noun
react,@ForwardRef,Noun
react,React,Noun
react,ReactDOM,Noun
react,JSX,Noun
react,PropTypes,Noun
react,createElement,Noun
react,createContext,Noun
react,useState,Noun
react,useEffect,Noun
react,useMemo,Noun
react,useCallback,Noun
react,useReducer,Noun
react,useRef,Noun
react,useContext,Noun
react,useLayoutEffect,Noun
react,useImperativeHandle,Noun
react,Component,Noun
react,FunctionalComponent,Noun
react,ClassComponent,Noun
react,render,Noun
react,renderToString,Noun
react,ReactRouter,Noun
react,react-router-dom,Noun
react,route,Noun
react,Link,Noun
react,Route,Noun
react,Switch,Noun
react,Redirect,Noun
react,history,Noun
react,useHistory,Noun
react,useLocation,Noun
react,useParams,Noun
react,useRouteMatch,Noun
react,contextType,Noun
react,setState,Verb
react,componentDidMount,Verb
react,componentDidUpdate,Verb
react,componentWillUnmount,Verb
react,shouldComponentUpdate,Verb
react,renderProps,Noun
react,hoc,Noun
react,renderChildren,Noun
react,portals,Noun
react,forwardRef,Noun
react,createPortal,Noun
react,jsxTransform,Noun
react,react-scripts,Noun
react,react-redux,Noun
react,dispatch,Noun
react,connect,Noun
react,Provider,Noun
react,store,Noun
react,combineReducers,Noun
react,compose,Noun
react,createStore,Noun
react,bindActionCreators,Noun
react,mapStateToProps,Noun
react,mapDispatchToProps,Noun
react,connect(mapStateToProps,mapDispatchToProps),Verb
react,ReactDOM.render,Verb
react,ReactDOM.hydrate,Verb
react,useDispatch,Noun
react,useSelector,Noun
react,contextProvider,Noun
react,contextConsumer,Noun
react,ReactContext,Noun
react,props,Noun
react,state,Noun
react,context,Noun
react,key,Noun
react,className,Noun
react,style,Noun
react,children,Noun
react,propTypes,Noun
react,defaultProps,Noun
react,fragment,Noun
react,async,Noun
react,debugger,Noun
react,devTools,Noun
react,Reconciliation,Noun
react,Hydration,Noun
react,ConcurrentMode,Noun
react,StrictMode,Noun
react,Profiler,Noun
react,ReactErrorBoundary,Noun
react,React.Fragment,Noun
react,JSX.Element,Noun
react,batch,Noun
react,suspense,Noun
react,suspenseList,Noun
react,Lazy,Noun
react,createLazy,Noun
react,fallBack,Noun
react,ErrorBoundary,Noun
react,useLayoutEffect,Noun
react,client-side-rendering,Noun
react,server-side-rendering,Noun
react,isMounted,Noun
react,hook-useState,Noun
react,hook-useEffect,Noun
react,hook-useContext,Noun
react,hook-useReducer,Noun
react,hook-useRef,Noun
react,hook-useMemo,Noun
react,hook-useCallback,Noun
react,hook-useLayoutEffect,Noun
react,hook-useImperativeHandle,Noun
react,hook-useDebugValue,Noun
react,ReactNative,Noun
react,NativeModules,Noun
react,NativeComponent,Noun
react,AsyncStorage,Noun
react,ReactNativeWebView,Noun
react,ScrollView,Noun
react,Text,Noun
react,View,Noun
react,TouchableOpacity,Noun
react,TouchableWithoutFeedback,Noun
react,Modal,Noun
react,Button,Noun
react,TextInput,Noun
react,FlatList,Noun
react,Image,Noun
react,KeyboardAvoidingView,Noun
react,SafeAreaView,Noun
react,StatusBar,Noun
react,Alert,Noun
react,Animated,Noun
react,gestureResponder,Noun
react,gestureHandler,Noun
react,Swipable,Noun
react,GestureHandler,Noun
react,NativeDriver,Noun
react,Reanimated,Noun
react,Redux,Verb
react,Redux-thunk,Noun
react,Redux-saga,Noun
react,Reducer,Verb
react,ProviderComponent,Noun
react,ReactDOMServer,Noun
react,RenderToString,Verb
react,ServerSideRendering,Noun
react,ComponentLifecycle,Noun
react,useEffectWithCleanup,Noun
react,EventEmitter,Noun
react,VirtualDom,Noun
react,createContextAPI,Noun
react,jsxSyntax,Noun
react,refactoring,Noun
react,JSXStyle,Noun
react,JSXBuilder,Noun
react,jsxCompatibility,Noun
react,ReactDOM.createPortal,Noun
react,React-Spring,Noun
react,React-motion,Noun
react,Styled-components,Noun
react,React-Bootstrap,Noun
react,MaterialUI,Noun
react,ReactTable,Noun
react,ReactFinalForm,Noun
react,ReactRouterDom,Noun
react,ReactForm,Noun
react,ReactToastify,Noun
react,ReactInfiniteScroll,Noun
react,ReactHelmet,Noun
react,ReactPDF,Noun
react,ReactPopper,Noun
react,ReactStripeCheckout,Noun
react,ReactRedux,Noun
react,ReactAsync,Noun
react,ReactNativeNavigation,Noun
react,react-icons,Noun
react,ReactWeb,Noun
react,ReactCodeSplit,Noun
react,ReactDataGrid,Noun
react,ReactNotifications,Noun
react,ReactImageGallery,Noun
react,ReactDroppable,Noun
react,ReactDragAndDrop,Noun
react,ReactContextAPI,Noun
react,ReactPlayer,Noun
react,ReactTransitionGroup,Noun
react,ReactSpring,Noun
react,ReactTimeAgo,Noun
react,ReactJsxParser,Noun
